brand,review_month,mean_compound,n_reviews
H&M,2011-01-01,0.5994,1
H&M,2012-01-01,-0.9633,1
H&M,2012-03-01,-0.9318500000000001,2
H&M,2012-04-01,-0.9117,1
H&M,2012-12-01,-0.8257,1
H&M,2013-01-01,-0.434,1
H&M,2013-03-01,-0.9618,1
H&M,2013-04-01,-0.2952,1
H&M,2013-05-01,0.7194,1
H&M,2013-08-01,-0.8891,1
H&M,2013-11-01,,0
H&M,2013-12-01,,0
H&M,2014-01-01,-0.79815,2
H&M,2014-03-01,-0.0989,1
H&M,2014-04-01,-0.7783,1
H&M,2014-06-01,0.8563,1
H&M,2014-07-01,-0.8271,1
H&M,2014-09-01,,0
H&M,2014-10-01,,0
H&M,2015-01-01,-0.9079,1
H&M,2015-03-01,-0.6486,1
H&M,2015-06-01,-0.1027,1
H&M,2015-08-01,0.0,1
H&M,2015-09-01,-0.52485,2
H&M,2015-10-01,0.06760000000000005,2
H&M,2015-11-01,-0.11105,2
H&M,2015-12-01,-0.9653,1
H&M,2016-01-01,0.16455,2
H&M,2016-03-01,-0.6511,4
H&M,2016-04-01,0.07283333333333335,3
H&M,2016-05-01,0.0,1
H&M,2016-06-01,-0.67825,2
H&M,2016-07-01,0.64315,2
H&M,2016-08-01,0.8417,1
H&M,2016-09-01,,0
H&M,2016-10-01,-0.77155,2
H&M,2016-11-01,0.9346,1
H&M,2016-12-01,-0.30415000000000003,4
H&M,2017-01-01,-0.58075,2
H&M,2017-02-01,-0.6705,1
H&M,2017-03-01,-0.3127,2
H&M,2017-04-01,0.03312499999999999,4
H&M,2017-05-01,-0.23939999999999997,3
H&M,2017-06-01,-0.5790375,8
H&M,2017-07-01,-0.6315571428571428,7
H&M,2017-08-01,0.161225,4
H&M,2017-09-01,-0.36050000000000004,6
H&M,2017-10-01,-0.41257777777777777,9
H&M,2017-11-01,-0.42645999999999995,5
H&M,2017-12-01,-0.5146499999999999,16
H&M,2018-01-01,-0.3823923076923077,13
H&M,2018-02-01,-0.4098428571428571,7
H&M,2018-03-01,-0.4948727272727273,11
H&M,2018-04-01,-0.3607590909090909,22
H&M,2018-05-01,-0.07663999999999999,10
H&M,2018-06-01,-0.6736,12
H&M,2018-07-01,-0.24950882352941176,34
H&M,2018-08-01,-0.46107499999999996,12
H&M,2018-09-01,-0.44631875,16
H&M,2018-10-01,-0.4082862068965517,29
H&M,2018-11-01,-0.7057315789473684,19
H&M,2018-12-01,-0.4757375,24
H&M,2019-01-01,-0.5040357142857143,14
H&M,2019-02-01,-0.4109125,8
H&M,2019-03-01,-0.4400866666666667,15
H&M,2019-04-01,-0.07350666666666668,15
H&M,2019-05-01,-0.5798785714285714,14
H&M,2019-06-01,-0.24860666666666667,15
H&M,2019-07-01,-0.2855,11
H&M,2019-08-01,-0.48064444444444443,18
H&M,2019-09-01,-0.37509230769230767,13
H&M,2019-10-01,-0.3626964285714286,28
H&M,2019-11-01,-0.500156,25
H&M,2019-12-01,-0.5195927710843373,83
H&M,2020-01-01,-0.607775,20
H&M,2020-02-01,-0.2561866666666667,15
H&M,2020-03-01,-0.4512722222222222,18
H&M,2020-04-01,-0.22747499999999998,24
H&M,2020-05-01,-0.3646076923076923,91
H&M,2020-06-01,-0.38745797101449275,69
H&M,2020-07-01,-0.5061574468085106,47
H&M,2020-08-01,-0.34838,35
H&M,2020-09-01,-0.3159779411764706,68
H&M,2020-10-01,-0.3076488095238095,168
H&M,2020-11-01,-0.33726781609195405,87
H&M,2020-12-01,-0.31878785046728975,107
H&M,2021-01-01,-0.3419325581395349,43
H&M,2021-02-01,-0.45884444444444444,27
H&M,2021-03-01,-0.12214324324324323,37
H&M,2021-04-01,-0.27863783783783785,37
H&M,2021-05-01,-0.50326,35
H&M,2021-06-01,-0.5932763157894737,38
H&M,2021-07-01,-0.32113428571428576,35
H&M,2021-08-01,-0.3956,29
H&M,2021-09-01,-0.037261538461538464,13
H&M,2022-12-01,-0.42911666666666665,6
H&M,2023-01-01,-0.41950909090909094,11
H&M,2023-06-01,,0
H&M,2023-07-01,,0
H&M,2023-08-01,,0
H&M,2023-09-01,,0
H&M,2023-10-01,,0
H&M,2023-11-01,,0
H&M,2023-12-01,,0
H&M,2024-01-01,,0
H&M,2024-02-01,,0
H&M,2024-03-01,,0
H&M,2024-04-01,-0.343,1
H&M,2024-05-01,-0.46554375,16
ZARA,2011-01-01,,0
ZARA,2012-01-01,0.5647,1
ZARA,2012-03-01,,0
ZARA,2012-04-01,0.2421,1
ZARA,2012-12-01,,0
ZARA,2013-01-01,,0
ZARA,2013-03-01,,0
ZARA,2013-04-01,,0
ZARA,2013-05-01,,0
ZARA,2013-08-01,-0.8239,1
ZARA,2013-11-01,0.9325,1
ZARA,2013-12-01,0.1471,1
ZARA,2014-01-01,,0
ZARA,2014-03-01,,0
ZARA,2014-04-01,,0
ZARA,2014-06-01,,0
ZARA,2014-07-01,,0
ZARA,2014-09-01,-0.2716,1
ZARA,2014-10-01,0.413,2
ZARA,2015-01-01,,0
ZARA,2015-03-01,,0
ZARA,2015-06-01,0.2653,1
ZARA,2015-08-01,-0.6369,1
ZARA,2015-09-01,,0
ZARA,2015-10-01,,0
ZARA,2015-11-01,-0.7691,1
ZARA,2015-12-01,-0.7642,1
ZARA,2016-01-01,-0.8495,1
ZARA,2016-03-01,-0.8679,3
ZARA,2016-04-01,,0
ZARA,2016-05-01,,0
ZARA,2016-06-01,0.2517,3
ZARA,2016-07-01,,0
ZARA,2016-08-01,-0.76684,5
ZARA,2016-09-01,-0.9658,1
ZARA,2016-10-01,-0.55242,5
ZARA,2016-11-01,0.7872,1
ZARA,2016-12-01,-0.5822,4
ZARA,2017-01-01,-0.3215333333333334,3
ZARA,2017-02-01,-0.17915000000000003,2
ZARA,2017-03-01,-0.8165333333333332,3
ZARA,2017-04-01,-0.38885,6
ZARA,2017-05-01,-0.8647,2
ZARA,2017-06-01,-0.391325,8
ZARA,2017-07-01,-0.6620363636363636,11
ZARA,2017-08-01,-0.0623888888888889,9
ZARA,2017-09-01,-0.3861636363636363,11
ZARA,2017-10-01,-0.4071263157894737,19
ZARA,2017-11-01,-0.5885695652173913,23
ZARA,2017-12-01,-0.3705475,40
ZARA,2018-01-01,-0.46501489361702125,47
ZARA,2018-02-01,-0.2942047619047619,21
ZARA,2018-03-01,-0.5447222222222222,18
ZARA,2018-04-01,-0.39278,15
ZARA,2018-05-01,-0.10416249999999999,8
ZARA,2018-06-01,-0.415855,20
ZARA,2018-07-01,-0.45096428571428576,28
ZARA,2018-08-01,-0.4657925925925926,27
ZARA,2018-09-01,-0.3727095238095238,21
ZARA,2018-10-01,-0.5059485714285715,35
ZARA,2018-11-01,-0.38236896551724137,29
ZARA,2018-12-01,-0.6462565217391305,46
ZARA,2019-01-01,-0.537422033898305,59
ZARA,2019-02-01,-0.4434862068965517,29
ZARA,2019-03-01,-0.2774944444444445,18
ZARA,2019-04-01,-0.4583424242424242,33
ZARA,2019-05-01,-0.2793,30
ZARA,2019-06-01,-0.42976,25
ZARA,2019-07-01,-0.2711904761904762,42
ZARA,2019-08-01,-0.5986147058823529,34
ZARA,2019-09-01,-0.5422571428571429,35
ZARA,2019-10-01,-0.557095,40
ZARA,2019-11-01,,0
ZARA,2019-12-01,,0
ZARA,2020-01-01,,0
ZARA,2020-02-01,,0
ZARA,2020-03-01,,0
ZARA,2020-04-01,,0
ZARA,2020-05-01,,0
ZARA,2020-06-01,,0
ZARA,2020-07-01,,0
ZARA,2020-08-01,,0
ZARA,2020-09-01,,0
ZARA,2020-10-01,,0
ZARA,2020-11-01,,0
ZARA,2020-12-01,,0
ZARA,2021-01-01,,0
ZARA,2021-02-01,,0
ZARA,2021-03-01,,0
ZARA,2021-04-01,,0
ZARA,2021-05-01,,0
ZARA,2021-06-01,,0
ZARA,2021-07-01,,0
ZARA,2021-08-01,,0
ZARA,2021-09-01,,0
ZARA,2022-12-01,,0
ZARA,2023-01-01,,0
ZARA,2023-06-01,,0
ZARA,2023-07-01,,0
ZARA,2023-08-01,,0
ZARA,2023-09-01,,0
ZARA,2023-10-01,,0
ZARA,2023-11-01,,0
ZARA,2023-12-01,,0
ZARA,2024-01-01,-0.553457894736842,19
ZARA,2024-02-01,,0
ZARA,2024-03-01,,0
ZARA,2024-04-01,,0
ZARA,2024-05-01,-0.653678947368421,19
SHEIN,2011-01-01,,0
SHEIN,2012-01-01,,0
SHEIN,2012-03-01,,0
SHEIN,2012-04-01,,0
SHEIN,2012-12-01,,0
SHEIN,2013-01-01,,0
SHEIN,2013-03-01,,0
SHEIN,2013-04-01,,0
SHEIN,2013-05-01,,0
SHEIN,2013-08-01,,0
SHEIN,2013-11-01,,0
SHEIN,2013-12-01,,0
SHEIN,2014-01-01,,0
SHEIN,2014-03-01,,0
SHEIN,2014-04-01,,0
SHEIN,2014-06-01,,0
SHEIN,2014-07-01,,0
SHEIN,2014-09-01,,0
SHEIN,2014-10-01,,0
SHEIN,2015-01-01,,0
SHEIN,2015-03-01,,0
SHEIN,2015-06-01,,0
SHEIN,2015-08-01,,0
SHEIN,2015-09-01,,0
SHEIN,2015-10-01,,0
SHEIN,2015-11-01,,0
SHEIN,2015-12-01,,0
SHEIN,2016-01-01,,0
SHEIN,2016-03-01,,0
SHEIN,2016-04-01,,0
SHEIN,2016-05-01,,0
SHEIN,2016-06-01,,0
SHEIN,2016-07-01,,0
SHEIN,2016-08-01,,0
SHEIN,2016-09-01,,0
SHEIN,2016-10-01,,0
SHEIN,2016-11-01,,0
SHEIN,2016-12-01,,0
SHEIN,2017-01-01,,0
SHEIN,2017-02-01,,0
SHEIN,2017-03-01,,0
SHEIN,2017-04-01,,0
SHEIN,2017-05-01,,0
SHEIN,2017-06-01,,0
SHEIN,2017-07-01,,0
SHEIN,2017-08-01,,0
SHEIN,2017-09-01,,0
SHEIN,2017-10-01,,0
SHEIN,2017-11-01,,0
SHEIN,2017-12-01,,0
SHEIN,2018-01-01,,0
SHEIN,2018-02-01,,0
SHEIN,2018-03-01,,0
SHEIN,2018-04-01,,0
SHEIN,2018-05-01,,0
SHEIN,2018-06-01,,0
SHEIN,2018-07-01,,0
SHEIN,2018-08-01,,0
SHEIN,2018-09-01,,0
SHEIN,2018-10-01,,0
SHEIN,2018-11-01,,0
SHEIN,2018-12-01,,0
SHEIN,2019-01-01,,0
SHEIN,2019-02-01,,0
SHEIN,2019-03-01,,0
SHEIN,2019-04-01,,0
SHEIN,2019-05-01,,0
