brand,sentiment_label,n_reviews,pct_reviews
H&M,negative,1195,71.90132370637785
H&M,neutral,70,4.21179302045728
H&M,positive,397,23.886883273164862
ZARA,negative,666,76.55172413793103
ZARA,neutral,19,2.1839080459770117
ZARA,positive,185,21.264367816091955
SHEIN,negative,703,69.12487708947886
SHEIN,neutral,131,12.88102261553589
SHEIN,positive,183,17.99410029498525
Urban Outfitters,negative,581,57.58176412289396
Urban Outfitters,neutral,222,22.001982160555006
Urban Outfitters,positive,206,20.41625371655104
