model,topic_id,topic_label,coherence_cv
LDA,0,voucher | price | reciev,0.29457826848086677
LDA,1,size | item | return,0.5755502707270735
LDA,2,card | gift | refund,0.4955251412648331
LDA,3,customer | service | store,0.5912184405873179
LDA,4,order | receive | delivery,0.5951481542400696
LDA,5,customer | service | return,0.5568014583106
LDA,overall,overall,0.5181369556017935
BERTopic,-1,order | service | item,0.5875121238420412
BERTopic,0,store | staff | exchang,0.5726748924588951
BERTopic,1,return | refund | item,0.5653630247334108
BERTopic,2,delivery | parcel | deliv,0.6012633588923739
BERTopic,3,shipping | order | place,0.6079526891453051
BERTopic,4,card | gift | payment,0.5452246249725979
BERTopic,5,service | customer | phone,0.3606080375637687
BERTopic,6,quality | cloth | wash,0.614599181117067
BERTopic,7,wrong | sent | item,0.47741950719797643
BERTopic,8,cancel | order | item,0.45684060710607965
BERTopic,9,size | cloth | store,0.4799185349435463
BERTopic,10,onlin | shop | order,0.4395082571846868
BERTopic,overall,overall,0.5257404032631458
